學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
112,1,公立,一般大學,0013,國立中正大學,碩士班(日間),男,1672,75,17,7,0,0,1,1,5,3,58,12,0,8,38,0
112,1,公立,一般大學,0013,國立中正大學,碩士在職專班,男,600,49,3,0,0,0,0,0,3,0,46,10,0,10,26,0
112,1,公立,一般大學,0013,國立中正大學,博士班,男,332,23,2,0,0,0,0,0,1,1,21,6,0,6,9,0
112,1,公立,一般大學,0013,國立中正大學,學士班(日間),女,3098,46,21,18,0,0,0,1,0,2,25,1,0,2,22,0
112,1,公立,一般大學,0013,國立中正大學,碩士班(日間),女,1210,58,7,4,0,0,0,0,1,2,51,15,0,2,34,0
112,1,公立,一般大學,0013,國立中正大學,碩士在職專班,女,868,46,7,2,0,1,1,0,0,3,39,7,0,9,23,0
112,1,公立,一般大學,0013,國立中正大學,博士班,女,205,9,2,0,0,0,0,0,1,1,7,1,0,1,5,0
112,1,公立,一般大學,0014,國立高雄師範大學,學士班(日間),男,1945,70,56,54,0,0,0,0,1,1,14,4,0,10,0,0
112,1,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),男,567,52,27,14,0,0,0,2,11,0,25,7,0,18,0,0
112,1,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,男,496,16,2,0,0,0,0,0,2,0,14,6,0,8,0,0
112,1,公立,一般大學,0014,國立高雄師範大學,博士班,男,204,11,1,0,0,0,0,0,1,0,10,7,0,3,0,0
112,1,公立,一般大學,0014,國立高雄師範大學,學士班(日間),女,2043,60,52,48,0,1,0,1,0,2,8,2,0,6,0,0
112,1,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),女,999,68,32,21,0,0,1,1,9,0,36,10,0,26,0,0
112,1,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,女,924,26,10,6,0,0,3,0,1,0,16,5,0,10,1,0
112,1,公立,一般大學,0014,國立高雄師範大學,博士班,女,218,8,1,0,0,0,1,0,0,0,7,2,0,5,0,0
