學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
105,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,博士班,女,4,1,0,0,0,0,0,0,1,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),男,221,15,0,0,0,5,1,0,0,...,...,...,...,...,...,...,9
105,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),男,62,2,0,0,0,0,0,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,男,14,5,0,0,0,1,1,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),女,202,5,1,0,0,2,0,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),女,23,1,0,0,0,0,1,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,女,3,3,0,0,0,0,0,0,2,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),男,14,2,0,0,0,0,0,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),女,17,1,0,0,0,1,0,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),男,84,6,0,0,0,3,1,0,1,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),男,48,14,0,0,1,5,3,0,0,...,...,...,...,...,...,...,5
105,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,男,28,7,0,0,2,0,3,0,2,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),女,125,3,0,0,0,2,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),女,31,3,0,2,0,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,女,6,3,1,0,1,0,0,0,1,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,碩士在職專班,男,46,16,0,0,0,0,9,0,0,...,...,...,...,...,...,...,7
105,公立,一般大學,0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,碩士在職專班,女,13,5,0,0,0,0,2,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),男,93,1,0,0,0,1,0,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),男,26,9,0,0,0,0,1,0,0,...,...,...,...,...,...,...,8
105,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,男,10,8,0,0,0,0,3,0,2,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),女,183,5,0,0,0,0,0,0,0,...,...,...,...,...,...,...,5
105,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),女,40,5,0,0,0,0,1,0,1,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,女,2,2,0,0,0,0,1,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,碩士在職專班,男,50,17,0,0,1,1,3,0,2,...,...,...,...,...,...,...,10
105,公立,一般大學,0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,碩士在職專班,女,21,4,0,0,0,0,0,0,0,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),男,27,5,0,1,0,0,1,0,1,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),女,23,2,0,0,0,0,0,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),男,91,6,0,0,0,3,0,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),男,30,3,0,0,2,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03131032,心理學系,博士班,男,4,1,0,0,0,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),女,131,7,0,0,0,1,1,0,1,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),女,54,3,0,0,1,0,1,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03131032,心理學系,博士班,女,12,5,0,0,0,1,0,2,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),男,8,1,0,0,0,1,0,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),女,24,3,0,0,1,0,2,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),男,75,1,0,0,0,1,0,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),男,30,8,1,0,2,2,1,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03141030,社會學系,博士班,男,11,5,0,1,1,0,1,0,1,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),女,128,1,1,0,0,0,0,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),女,27,8,1,0,1,1,0,0,0,...,...,...,...,...,...,...,5
105,公立,一般大學,0001,國立政治大學,03141030,社會學系,博士班,女,3,1,0,0,0,0,1,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,碩士班(日間),男,4,1,0,0,0,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,碩士班(日間),女,4,3,0,0,0,0,2,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),男,42,10,0,0,0,0,6,0,0,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,男,21,10,0,0,1,1,4,0,2,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),女,22,10,0,0,1,1,6,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,女,6,5,0,0,0,0,1,1,1,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03143036,日本研究博士學位學程,博士班,男,6,1,0,0,0,0,1,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),男,17,1,0,0,0,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),女,20,4,0,0,0,0,3,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),男,19,7,0,0,0,3,1,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),女,11,4,0,0,0,1,0,0,0,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,男,33,9,0,0,1,0,3,0,1,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,女,21,10,0,0,0,0,2,0,2,...,...,...,...,...,...,...,6
105,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),男,33,16,1,1,0,0,5,0,1,...,...,...,...,...,...,...,8
105,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),女,47,14,1,0,0,0,9,1,2,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),男,37,16,0,0,2,2,8,0,0,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,男,20,4,0,0,0,1,1,0,2,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),女,39,12,0,0,1,2,3,0,1,...,...,...,...,...,...,...,5
105,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,女,11,6,0,0,1,0,1,0,4,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),男,30,9,0,1,0,0,5,0,1,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),女,52,29,1,0,0,5,10,1,7,...,...,...,...,...,...,...,5
105,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),男,57,6,0,0,0,0,2,0,0,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),女,139,11,0,0,0,5,5,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),男,10,6,1,0,0,0,1,0,0,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),女,41,6,0,0,0,0,2,0,2,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),男,39,1,0,0,0,1,0,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,碩士班(日間),男,5,4,0,0,0,1,1,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),女,108,3,0,0,0,2,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,碩士班(日間),女,11,7,0,0,3,1,2,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03211056,傳播學院碩士在職專班,碩士在職專班,男,22,9,0,0,0,0,1,0,1,...,...,...,...,...,...,...,7
105,公立,一般大學,0001,國立政治大學,03211056,傳播學院碩士在職專班,碩士在職專班,女,49,12,1,0,0,0,0,0,2,...,...,...,...,...,...,...,9
105,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),男,40,2,0,0,0,1,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03212051,新聞學系,博士班,男,9,2,0,0,0,2,0,0,0,...,...,...,...,...,...,...,0
105,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),女,140,2,0,0,0,1,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03212051,新聞學系,碩士班(日間),女,16,8,1,0,3,1,0,0,1,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03212051,新聞學系,博士班,女,3,1,0,0,0,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),男,14,2,0,0,0,0,0,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),女,34,3,0,0,0,1,1,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,博士班,女,10,2,0,0,0,1,0,0,1,...,...,...,...,...,...,...,0
