學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
105,1,公立,技專校院,0027,國立高雄應用科技大學,碩士在職專班,男,750,49,4,0,1,36,0,0,0,5,...,...,0
105,1,公立,技專校院,0027,國立高雄應用科技大學,博士班,男,230,13,2,0,1,5,0,0,0,1,...,...,1
105,1,公立,技專校院,0027,國立高雄應用科技大學,學士班(日間),女,2666,41,3,0,23,14,0,0,0,0,...,...,0
105,1,公立,技專校院,0027,國立高雄應用科技大學,學士班(進修),女,630,26,5,0,6,10,0,0,0,5,...,...,0
105,1,公立,技專校院,0027,國立高雄應用科技大學,碩士班(日間),女,340,18,0,0,1,10,0,0,0,1,...,...,2
105,1,公立,技專校院,0027,國立高雄應用科技大學,碩士在職專班,女,447,11,0,0,0,9,0,0,0,1,...,...,0
105,1,公立,技專校院,0027,國立高雄應用科技大學,博士班,女,46,1,0,0,0,0,0,0,1,0,...,...,0
105,1,公立,一般大學,0028,國立臺北藝術大學,五專,男,41,1,0,0,0,0,0,0,0,0,...,...,1
105,1,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),男,609,18,6,0,6,3,0,0,0,0,...,...,3
105,1,公立,一般大學,0028,國立臺北藝術大學,碩士班(日間),男,316,21,5,0,1,10,0,0,0,0,...,...,2
105,1,公立,一般大學,0028,國立臺北藝術大學,碩士在職專班,男,65,1,1,0,0,0,0,0,0,0,...,...,0
