學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
105,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),女,1754,58,5,2,22,10,1,0,1,...,...,...,...,...,...,...,17
105,公立,技專校院,0022,國立臺灣科技大學,學士班(進修),女,18,2,0,0,1,0,1,0,0,...,...,...,...,...,...,...,0
105,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),女,991,75,2,4,2,2,23,0,2,...,...,...,...,...,...,...,40
105,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,女,237,30,2,0,0,1,13,1,3,...,...,...,...,...,...,...,10
105,公立,技專校院,0022,國立臺灣科技大學,博士班,女,209,50,2,2,1,0,12,6,9,...,...,...,...,...,...,...,18
105,公立,技專校院,0023,國立雲林科技大學,學士班(日間),男,3866,118,5,16,33,31,13,0,0,...,...,...,...,...,...,...,20
105,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),男,1273,162,0,29,25,16,46,0,1,...,...,...,...,...,...,...,45
105,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,男,432,77,0,5,2,0,60,0,5,...,...,...,...,...,...,...,5
105,公立,技專校院,0023,國立雲林科技大學,博士班,男,297,94,3,10,11,0,47,0,12,...,...,...,...,...,...,...,11
105,公立,技專校院,0023,國立雲林科技大學,學士班(日間),女,2645,61,8,12,8,16,9,0,0,...,...,...,...,...,...,...,8
105,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),女,750,94,2,26,17,5,24,4,6,...,...,...,...,...,...,...,10
105,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,女,335,76,1,8,1,2,44,3,12,...,...,...,...,...,...,...,5
105,公立,技專校院,0023,國立雲林科技大學,博士班,女,154,38,1,2,2,1,20,2,7,...,...,...,...,...,...,...,3
105,公立,技專校院,0024,國立屏東科技大學,學士班(日間),男,4064,144,3,2,13,42,15,0,0,...,...,...,...,...,...,...,69
105,公立,技專校院,0024,國立屏東科技大學,學士班(進修),男,828,55,2,3,0,0,16,0,0,...,...,...,...,...,...,...,34
105,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),男,720,135,0,8,0,4,34,0,0,...,...,...,...,...,...,...,89
105,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,男,308,45,2,0,0,0,32,0,1,...,...,...,...,...,...,...,10
105,公立,技專校院,0024,國立屏東科技大學,博士班,男,170,39,0,0,0,0,18,0,3,...,...,...,...,...,...,...,18
105,公立,技專校院,0024,國立屏東科技大學,學士班(日間),女,3754,97,2,6,1,20,11,1,3,...,...,...,...,...,...,...,53
