學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),28,23,5,4.31
106,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),2,1,1,1.10
106,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),4,3,1,2.11
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),19,16,3,3.99
106,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),4,2,2,1.99
106,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,學士班(日間),10,5,5,4.33
106,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),12,8,4,6.70
106,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,學士班(日間),4,1,3,1.90
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,博士班,1,0,1,14.29
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),4,3,1,2.15
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),9,3,6,1.53
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),7,1,6,2.41
106,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),18,8,10,3.32
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,學士班(日間),11,5,6,1.38
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),2,0,2,0.69
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),1,1,0,0.36
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,學士班(日間),5,3,2,2.25
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,學士班(日間),14,9,5,2.96
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),6,5,1,0.75
106,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),13,9,4,8.02
106,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,學士班(日間),1,0,1,0.91
106,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,學士班(日間),1,0,1,0.60
106,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),2,1,1,0.73
106,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),13,2,11,3.88
106,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系,學士班(日間),4,1,3,2.45
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,博士班,1,0,1,14.29
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,博士班,5,4,1,10.20
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,博士班,7,3,4,13.46
106,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,博士班,3,2,1,21.43
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,博士班,6,6,0,13.33
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,博士班,4,4,0,28.57
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,博士班,1,0,1,3.13
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,博士班,4,2,2,7.69
106,公立,一般大學,0003,國立臺灣大學,05121044,生物科技研究所,博士班,4,3,1,12.12
106,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,博士班,5,4,1,10.64
106,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,博士班,1,1,0,4.55
106,公立,一般大學,0003,國立臺灣大學,05323057,海洋研究所,博士班,3,2,1,15.79
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,博士班,16,13,3,15.69
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,博士班,1,1,0,5.26
106,公立,一般大學,0003,國立臺灣大學,06131063,資訊網路與多媒體研究所,博士班,2,2,0,5.00
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,博士班,4,4,0,3.60
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,博士班,9,9,0,14.52
106,公立,一般大學,0003,國立臺灣大學,07121080,環境工程學研究所,博士班,4,2,2,6.56
106,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,博士班,3,3,0,3.75
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,博士班,4,3,1,3.36
106,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,博士班,3,2,1,12.50
106,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,博士班,3,2,1,7.14
106,公立,一般大學,0003,國立臺灣大學,07313086,建築與城鄉研究所,博士班,2,1,1,5.56
106,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,博士班,1,1,0,9.09
106,公立,一般大學,0003,國立臺灣大學,09121114,解剖學暨細胞生物學研究所,博士班,1,0,1,6.25
106,公立,一般大學,0003,國立臺灣大學,09191127,健康政策與管理研究所,博士班,3,2,1,5.66
106,公立,一般大學,0003,國立臺灣大學,01131001,華語教學碩士學位學程,碩士班(日間),13,5,8,22.81
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,碩士班(日間),4,4,0,9.09
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,碩士班(日間),2,1,1,4.88
106,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,博士班,11,8,3,16.42
106,公立,一般大學,0003,國立臺灣大學,04131026,商學研究所,博士班,1,1,0,2.78
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,博士班,1,0,1,1.82
106,公立,一般大學,0003,國立臺灣大學,05111040,植物科學研究所,博士班,1,1,0,3.85
106,公立,一般大學,0003,國立臺灣大學,05121045,生化科學研究所,博士班,8,6,2,15.38
106,公立,一般大學,0003,國立臺灣大學,05124155,生物資訊學國際研究生博士學位學程,博士班,1,1,0,100.00
106,公立,一般大學,0003,國立臺灣大學,05212043,生態學與演化生物學研究所,博士班,2,2,0,9.09
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,博士班,18,11,7,13.33
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,博士班,5,4,1,6.17
106,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,博士班,2,2,0,3.03
106,公立,一般大學,0003,國立臺灣大學,07191079,工業工程學研究所,博士班,4,4,0,14.29
106,公立,一般大學,0003,國立臺灣大學,07194071,應用力學研究所,博士班,2,1,1,5.88
106,公立,一般大學,0003,國立臺灣大學,07194083,醫學工程學研究所,博士班,3,2,1,2.73
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,博士班,10,7,3,7.63
106,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,博士班,6,5,1,17.65
106,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,博士班,1,1,0,3.03
106,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,博士班,1,1,0,3.23
106,公立,一般大學,0003,國立臺灣大學,09111138,臨床牙醫學研究所,博士班,1,0,1,4.35
106,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,博士班,1,0,1,3.70
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,碩士班(日間),6,5,1,4.17
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,碩士班(日間),2,1,1,1.63
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,碩士班(日間),2,1,1,4.00
106,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,碩士班(日間),14,5,9,6.06
106,公立,一般大學,0003,國立臺灣大學,03212024,新聞研究所,碩士班(日間),3,0,3,3.19
106,公立,一般大學,0003,國立臺灣大學,04131028,管理學院企業管理碩士專班,碩士班(日間),58,33,25,42.34
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,碩士班(日間),13,7,6,2.63
106,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,碩士班(日間),2,1,1,7.41
106,公立,一般大學,0003,國立臺灣大學,05121044,生物科技研究所,碩士班(日間),2,1,1,8.00
106,公立,一般大學,0003,國立臺灣大學,05212043,生態學與演化生物學研究所,碩士班(日間),2,1,1,3.28
106,公立,一般大學,0003,國立臺灣大學,05323057,海洋研究所,碩士班(日間),1,1,0,1.25
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,碩士班(日間),2,2,0,1.09
