學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),大陸地區來臺學位生小計,大陸地區來臺學位生男,大陸地區來臺學位生女,大陸地區來臺學位生數之在學比率(%)
106,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,碩士班(日間),6,4,2,2.60
106,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,碩士班(日間),3,3,0,1.09
106,公立,一般大學,0003,國立臺灣大學,07191079,工業工程學研究所,碩士班(日間),1,1,0,1.39
106,公立,一般大學,0003,國立臺灣大學,07193081,生醫電子與資訊學研究所,碩士班(日間),1,0,1,0.95
106,公立,一般大學,0003,國立臺灣大學,07194083,醫學工程學研究所,碩士班(日間),2,1,1,1.61
106,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,碩士班(日間),3,1,2,5.36
106,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,碩士班(日間),8,5,3,6.78
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,碩士班(日間),15,11,4,4.52
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,碩士班(日間),2,1,1,1.41
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,碩士班(日間),15,14,1,7.04
106,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,碩士班(日間),7,6,1,1.87
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,碩士班(日間),12,11,1,2.91
106,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,碩士班(日間),2,2,0,1.89
106,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,碩士班(日間),3,3,0,1.53
106,公立,一般大學,0003,國立臺灣大學,07211099,食品科技研究所,碩士班(日間),7,2,5,7.37
106,公立,一般大學,0003,國立臺灣大學,07313086,建築與城鄉研究所,碩士班(日間),15,5,10,14.02
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,碩士班(日間),16,12,4,4.46
106,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,碩士班(日間),2,1,1,2.70
106,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,碩士班(日間),7,2,5,4.86
106,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,碩士班(日間),1,0,1,3.03
106,公立,一般大學,0003,國立臺灣大學,08311103,漁業科學研究所,碩士班(日間),1,1,0,2.94
106,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,碩士班(日間),2,0,2,5.88
