學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
106,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),...,...,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1
106,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),...,...,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,碩士班(日間),...,...,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,博士班,...,...,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,碩士班(日間),...,...,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,博士班,...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),...,...,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),...,...,6,4,2,0,0,0,3,1,2,3,3,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05311037,化學系,博士班,...,...,13,11,2,12,11,1,0,0,0,0,0,0,1,0,1
106,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),...,...,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,...,...,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,碩士班(日間),...,...,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
106,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),...,...,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),...,...,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),...,...,4,3,1,2,1,1,1,1,0,1,1,0,0,0,0
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),...,...,3,3,0,1,1,0,0,0,0,0,0,0,2,2,0
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,博士班,...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),...,...,10,8,2,6,4,2,0,0,0,0,0,0,4,4,0
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),...,...,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,...,...,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),...,...,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),...,...,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,博士班,...,...,7,5,2,7,5,2,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,碩士班(日間),...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),...,...,6,4,2,0,0,0,0,0,0,0,0,0,6,4,2
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,碩士班(日間),...,...,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),...,...,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),...,...,3,3,0,0,0,0,2,2,0,1,1,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),...,...,8,7,1,1,1,0,3,2,1,1,1,0,3,3,0
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),...,...,5,4,1,1,1,0,3,2,1,1,1,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,博士班,...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),...,...,6,3,3,1,0,1,0,0,0,0,0,0,5,3,2
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),...,...,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,博士班,...,...,4,4,0,3,3,0,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,博士班,...,...,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,碩士班(日間),...,...,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),...,...,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,01131001,華語教學碩士學位學程,碩士班(日間),...,...,4,0,4,2,0,2,1,0,1,0,0,0,1,0,1
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,碩士班(日間),...,...,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),...,...,3,0,3,0,0,0,1,0,1,2,0,2,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,碩士班(日間),...,...,3,0,3,0,0,0,0,0,0,1,0,1,2,0,2
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,碩士班(日間),...,...,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),...,...,3,2,1,0,0,0,0,0,0,3,2,1,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,碩士班(日間),...,...,4,2,2,0,0,0,1,0,1,1,1,0,2,1,1
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),...,...,5,0,5,1,0,1,1,0,1,3,0,3,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,碩士班(日間),...,...,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),...,...,6,2,4,1,1,0,3,1,2,1,0,1,1,0,1
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,碩士班(日間),...,...,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),...,...,11,2,9,4,1,3,4,0,4,3,1,2,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,碩士班(日間),...,...,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),...,...,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,碩士班(日間),...,...,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02312010,翻譯碩士學位學程,碩士班(日間),...,...,4,3,1,3,3,0,0,0,0,0,0,0,1,0,1
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),...,...,5,2,3,0,0,0,4,1,3,1,1,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系國際學生學士班,學士班(日間),...,...,14,5,9,14,5,9,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,博士班,...,...,4,1,3,3,1,2,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,碩士班(日間),...,...,7,0,7,3,0,3,1,0,1,0,0,0,3,0,3
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),...,...,5,2,3,1,0,1,4,2,2,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,碩士班(日間),...,...,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
