學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,1,1,0,3.45
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,博士班,45,35,10,45.92
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,博士班,3,3,0,10.71
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,10,9,1,10.99
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,博士班,7,4,3,14.00
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,博士班,17,10,7,37.78
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士班(日間),4,0,4,11.43
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,碩士班(日間),1,0,1,5.00
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系藝術教育與創作碩士班,碩士班(日間),4,3,1,5.19
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),5,2,3,12.82
106,公立,一般大學,0002,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),4,1,3,66.67
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),9,3,6,19.15
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,碩士班(日間),5,3,2,5.00
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),12,7,5,15.79
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,碩士班(日間),9,1,8,18.00
106,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),47,27,20,81.03
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),10,9,1,15.63
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),3,3,0,5.26
106,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),9,5,4,8.33
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,碩士班(日間),4,2,2,6.78
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,碩士班(日間),1,0,1,2.50
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),4,2,2,7.55
106,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,碩士班(日間),1,1,0,4.00
106,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),8,5,3,4.49
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),6,5,1,4.11
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,碩士班(日間),3,1,2,30.00
106,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),8,7,1,11.94
106,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,碩士班(日間),2,2,0,3.85
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,碩士班(日間),1,1,0,3.45
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,碩士班(日間),3,0,3,4.29
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),9,4,5,18.37
106,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,碩士班(日間),1,1,0,5.88
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),10,1,9,17.24
106,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,碩士班(日間),1,0,1,1.47
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),27,9,18,34.62
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,碩士班(日間),2,1,1,3.51
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),9,5,4,19.57
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,碩士班(日間),13,4,9,24.07
106,公立,一般大學,0002,國立清華大學,03199015,學習科學研究所,碩士班(日間),1,1,0,3.45
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,碩士班(日間),3,1,2,7.89
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,碩士班(日間),2,1,1,6.06
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),8,5,3,5.23
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),10,9,1,3.95
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),10,7,3,2.75
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,碩士班(日間),1,1,0,0.52
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),7,5,2,5.07
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),12,11,1,4.27
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),17,12,5,8.85
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,碩士班(日間),5,4,1,4.31
106,公立,一般大學,0002,國立清華大學,07193065,生物醫學工程研究所,碩士班(日間),1,1,0,3.57
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),17,13,4,4.83
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),30,19,11,27.52
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,碩士班(日間),4,4,0,2.33
