學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
112,公立,一般大學,0014,國立高雄師範大學,博士班,女,218,56,56,5,1,0,0,16,4,4,0,1,15,0,10,0,0,0,0,0
112,公立,一般大學,0015,國立彰化師範大學,學士班(日間),男,2698,97,91,8,2,41,4,8,0,0,0,3,0,1,1,1,22,6,0,6
112,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),男,882,151,151,1,7,7,1,40,0,4,6,0,40,4,7,12,22,0,0,0
112,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,男,540,117,87,5,0,2,0,44,0,6,0,1,18,0,8,3,0,30,0,30
112,公立,一般大學,0015,國立彰化師範大學,博士班,男,273,68,68,1,0,0,0,35,0,3,2,0,20,0,2,0,5,0,0,0
112,公立,一般大學,0015,國立彰化師範大學,學士班(日間),女,2346,89,88,9,1,49,1,1,0,0,0,8,0,5,1,2,11,1,0,1
112,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),女,839,206,206,11,6,9,0,42,5,10,0,3,66,2,15,23,14,0,0,0
112,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,女,831,239,191,10,2,2,0,68,7,42,0,2,40,0,12,4,2,48,0,48
112,公立,一般大學,0015,國立彰化師範大學,博士班,女,202,52,52,5,1,0,0,21,1,6,0,0,15,0,0,1,2,0,0,0
112,公立,一般大學,0017,國立臺北大學,學士班(日間),男,2732,91,90,4,6,28,11,4,0,0,2,20,0,8,3,4,0,1,0,1
