學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
111,公立,一般大學,0002,國立清華大學,04131016,經營管理碩士在職專班,碩士在職專班,123,76,47
111,公立,一般大學,0002,國立清華大學,04131016,經營管理碩士在職專班現役軍人營區碩士在職專班,碩士在職專班,5,5,0
111,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),70,35,35
111,公立,一般大學,0002,國立清華大學,04134014,科技管理學院公共政策與管理碩士在職專班,碩士在職專班,48,22,26
111,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),63,28,35
111,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,博士班,24,12,12
111,公立,一般大學,0002,國立清華大學,04199021,科技管理學院高階經營管理亞太地區馬來西亞境外碩士在職專班,碩士在職專班,26,18,8
111,公立,一般大學,0002,國立清華大學,04199021,科技管理學院高階經營管理深圳境外碩士在職專班,碩士在職專班,20,14,6
111,公立,一般大學,0002,國立清華大學,04199021,高階經營管理碩士在職專班,碩士在職專班,96,70,26
111,公立,一般大學,0002,國立清華大學,04199021,高階經營管理雙聯碩士在職學位學程,碩士在職專班,44,25,19
111,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),56,13,43
111,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,博士班,17,12,5
111,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),321,134,187
111,公立,一般大學,0002,國立清華大學,04199131,科技管理學院健康政策與經營管理碩士在職專班,碩士在職專班,29,8,21
111,公立,一般大學,0002,國立清華大學,04211B01,學士後法律學士學位學程,學士班(日間),1,1,0
111,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),104,39,65
111,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,博士班,18,11,7
111,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),2,2,0
111,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),208,113,95
111,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,碩士班(日間),53,27,26
111,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,博士班,39,25,14
111,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,碩士班(日間),47,25,22
111,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,博士班,31,22,9
111,公立,一般大學,0002,國立清華大學,05121029,生技產業博士學位學程,博士班,7,3,4
111,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),62,35,27
111,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,博士班,36,22,14
111,公立,一般大學,0002,國立清華大學,05121072,分子醫學研究所,碩士班(日間),44,19,25
111,公立,一般大學,0002,國立清華大學,05121072,分子醫學研究所,博士班,23,9,14
111,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),138,51,87
111,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,碩士班(日間),28,13,15
111,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,博士班,10,6,4
111,公立,一般大學,0002,國立清華大學,05211041,環境科技博士學位學程(台灣聯合大學系統),博士班,10,6,4
111,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),7,3,4
111,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,碩士班(日間),62,22,40
111,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系社區與社會學習領域碩士在職專班,碩士在職專班,49,13,36
111,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系社會學習領域教師碩士在職專班,碩士在職專班,2,1,1
111,公立,一般大學,0002,國立清華大學,05211121,分析與環境科學研究所,碩士班(日間),33,9,24
111,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),265,175,90
111,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),207,139,68
111,公立,一般大學,0002,國立清華大學,05311037,化學系,博士班,87,65,22
111,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),294,241,53
111,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),199,171,28
111,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,81,74,7
111,公立,一般大學,0002,國立清華大學,05331137,量子科技暨尖端材料博士學位學程,博士班,1,1,0
111,公立,一般大學,0002,國立清華大學,05332039,天文研究所,碩士班(日間),19,10,9
111,公立,一般大學,0002,國立清華大學,05332039,天文研究所,博士班,19,9,10
111,公立,一般大學,0002,國立清華大學,05399040,先進光源科技博士學位學程,博士班,1,1,0
111,公立,一般大學,0002,國立清華大學,05399040,先進光源科技碩士學位學程,碩士班(日間),8,6,2
111,公立,一般大學,0002,國立清華大學,05399042,理學院學士班,學士班(日間),158,119,39
111,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),267,218,49
111,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),43,38,5
111,公立,一般大學,0002,國立清華大學,05411043,數學系,博士班,10,10,0
111,公立,一般大學,0002,國立清華大學,05411115,計算與建模科學研究所,碩士班(日間),21,13,8
111,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,碩士班(日間),54,45,9
111,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,博士班,15,9,6
111,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),590,444,146
111,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),440,363,77
111,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,64,53,11
111,公立,一般大學,0002,國立清華大學,06131122,資訊安全研究所,碩士班(日間),66,54,12
111,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),169,114,55
111,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,博士班,26,21,5
111,公立,一般大學,0002,國立清華大學,06134048,社群網路與人智計算國際研究生博士學位學程,博士班,17,11,6
111,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),257,168,89
111,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),206,138,68
111,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,92,76,16
111,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),464,335,129
111,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),321,238,83
111,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,121,93,28
111,公立,一般大學,0002,國立清華大學,07112071,工學院學士班,學士班(日間),149,90,59
111,公立,一般大學,0002,國立清華大學,07112118,前瞻功能材料產業博士學位學程,博士班,13,13,0
111,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,碩士班(日間),55,31,24
111,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,20,13,7
