學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311084,西班牙語文學系,學士班(日間),2,1,1,0.47
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311085,德國語文學系,學士班(日間),2,1,1,0.93
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311086,法國語文學系,學士班(日間),1,0,1,0.27
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311088,英文學系,學士班(日間),7,2,5,1.07
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311088,英文學系全英語學士班,學士班(日間),4,2,2,3.67
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02322090,中國文學學系,學士班(日間),3,0,3,0.71
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03111076,經濟學系,學士班(日間),2,2,0,0.29
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03121074,全球政治經濟學系全英語學士班,學士班(日間),19,10,9,14.73
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03122059,外交與國際關係學系全英語學士班,學士班(日間),91,26,65,35.97
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03211055,大眾傳播學系,學士班(日間),17,5,12,4.86
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03214054,資訊傳播學系,學士班(日間),2,0,2,0.50
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04111051,會計學系,學士班(日間),3,2,1,0.38
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04121035,商管學院全球財務管理全英語學士學位學程,學士班(日間),18,11,7,29.03
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04121037,財務金融學系,學士班(日間),12,5,7,1.86
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04121037,財務金融學系全球財務管理全英語學士班,學士班(日間),31,17,14,17.32
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04131040,國際企業學系,學士班(日間),194,80,114,24.31
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04131047,管理科學學系,學士班(日間),1,0,1,0.25
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04131049,企業管理學系,學士班(日間),22,9,13,3.30
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,05411026,數學學系,學士班(日間),1,1,0,0.32
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,06131018,資訊工程學系,學士班(日間),9,5,4,1.07
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,06131018,資訊工程學系全英語學士班,學士班(日間),94,71,23,34.69
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,06131023,資訊管理學系,學士班(日間),5,4,1,0.66
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,07141019,電機工程學系,學士班(日間),2,2,0,0.22
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,07311007,建築學系,學士班(日間),3,1,2,0.86
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,07321012,土木工程學系,學士班(日間),2,1,1,0.42
112,私立,一般大學,1005,淡江大學學校財團法人淡江大學,10151005,國際觀光管理學系全英語學士班,學士班(日間),28,7,21,9.24
112,私立,一般大學,1006,中國文化大學,01141023,體育學系,學士班(日間),2,2,0,0.44
112,私立,一般大學,1006,中國文化大學,02131059,美術學系,學士班(日間),6,2,4,2.42
112,私立,一般大學,1006,中國文化大學,02151007,中國音樂學系,學士班(日間),2,1,1,1.67
112,私立,一般大學,1006,中國文化大學,02151040,音樂學系,學士班(日間),2,1,1,1.36
112,私立,一般大學,1006,中國文化大學,02152008,中國戲劇學系,學士班(日間),1,0,1,0.61
112,私立,一般大學,1006,中國文化大學,02152009,舞蹈學系,學士班(日間),1,0,1,0.84
112,私立,一般大學,1006,中國文化大學,02152043,戲劇學系,學士班(日間),9,5,4,3.40
112,私立,一般大學,1006,中國文化大學,02221098,史學系,學士班(日間),1,0,1,0.65
112,私立,一般大學,1006,中國文化大學,02231081,哲學系,學士班(日間),1,1,0,0.79
112,私立,一般大學,1006,中國文化大學,02311010,韓國語文學系,學士班(日間),39,5,34,7.88
112,私立,一般大學,1006,中國文化大學,02311047,俄國語文學系,學士班(日間),1,1,0,1.06
112,私立,一般大學,1006,中國文化大學,02311052,英國語文學系,學士班(日間),15,5,10,5.24
112,私立,一般大學,1006,中國文化大學,02311077,日本語文學系,學士班(日間),20,9,11,4.51
112,私立,一般大學,1006,中國文化大學,02311089,法國語文學系,學士班(日間),2,0,2,1.26
112,私立,一般大學,1006,中國文化大學,02322001,中國文學系,學士班(日間),2,2,0,0.46
112,私立,一般大學,1006,中國文化大學,03111099,經濟學系,學士班(日間),3,1,2,1.00
112,私立,一般大學,1006,中國文化大學,03131004,心理輔導學系,學士班(日間),2,1,1,0.80
112,私立,一般大學,1006,中國文化大學,03199051,勞動暨人力資源學系,學士班(日間),1,1,0,0.35
112,私立,一般大學,1006,中國文化大學,03211036,大眾傳播學系,學士班(日間),11,0,11,2.14
112,私立,一般大學,1006,中國文化大學,03212033,新聞學系,學士班(日間),5,1,4,1.48
112,私立,一般大學,1006,中國文化大學,03214101,資訊傳播學系,學士班(日間),1,1,0,0.26
112,私立,一般大學,1006,中國文化大學,04111065,會計學系,學士班(日間),3,1,2,0.89
112,私立,一般大學,1006,中國文化大學,04121037,財務金融學系,學士班(日間),2,2,0,0.33
112,私立,一般大學,1006,中國文化大學,04131015,國際企業管理學系,學士班(日間),4,4,0,0.79
112,私立,一般大學,1006,中國文化大學,04141041,國際貿易學系,學士班(日間),15,7,8,3.20
112,私立,一般大學,1006,中國文化大學,04143013,廣告學系,學士班(日間),6,2,4,1.40
112,私立,一般大學,1006,中國文化大學,04143027,行銷學士學位學程,學士班(日間),2,0,2,2.11
112,私立,一般大學,1006,中國文化大學,04191014,全球商務學士學位學程,學士班(日間),76,48,28,38.78
112,私立,一般大學,1006,中國文化大學,04212020,法律學系,學士班(日間),2,0,2,0.19
112,私立,一般大學,1006,中國文化大學,05321112,地質學系,學士班(日間),1,0,1,0.85
112,私立,一般大學,1006,中國文化大學,05499114,應用數學系,學士班(日間),1,0,1,0.48
112,私立,一般大學,1006,中國文化大學,06131021,資訊工程學系,學士班(日間),2,2,0,0.46
112,私立,一般大學,1006,中國文化大學,06132006,資訊管理學系,學士班(日間),1,1,0,0.20
112,私立,一般大學,1006,中國文化大學,07141085,電機工程學系,學士班(日間),1,1,0,0.28
112,私立,一般大學,1006,中國文化大學,07151107,機械工程學系,學士班(日間),3,3,0,0.96
112,私立,一般大學,1006,中國文化大學,07311068,建築及都市設計學系,學士班(日間),2,2,0,0.80
112,私立,一般大學,1006,中國文化大學,07312103,景觀學系,學士班(日間),1,1,0,0.66
112,私立,一般大學,1006,中國文化大學,07313118,都市計劃與開發管理學系,學士班(日間),2,1,1,1.32
112,私立,一般大學,1006,中國文化大學,08211054,森林暨自然保育學系,學士班(日間),1,1,0,0.61
112,私立,一般大學,1006,中國文化大學,10111090,生活應用科學系,學士班(日間),36,31,5,17.22
112,私立,一般大學,1006,中國文化大學,10142093,運動與健康促進學系,學士班(日間),4,4,0,1.89
112,私立,一般大學,1006,中國文化大學,10151005,觀光事業學系,學士班(日間),60,25,35,13.95
112,私立,一般大學,1007,逢甲大學,02311002,外國語文學系,學士班(日間),16,2,14,3.76
112,私立,一般大學,1007,逢甲大學,02322001,中國文學系,學士班(日間),3,1,2,1.36
112,私立,一般大學,1007,逢甲大學,03111009,經濟學系,學士班(日間),4,3,1,0.89
112,私立,一般大學,1007,逢甲大學,03111012,合作經濟暨社會事業經營學系,學士班(日間),17,8,9,7.17
112,私立,一般大學,1007,逢甲大學,04121025,財務金融學系,學士班(日間),18,7,11,2.40
112,私立,一般大學,1007,逢甲大學,04121028,財務工程與精算學士學位學程,學士班(日間),8,3,5,3.81
