學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),印度尼西亞共和國,東協,402,201,201,235,113,122,167,88,79,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),吐瓦魯,其他亞洲地區,6,2,4,6,2,4,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),宏都拉斯共和國,中南美洲,10,6,4,10,6,4,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),貝里斯,中南美洲,8,4,4,8,4,4,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),亞塞拜然共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),香港,港澳,378,207,171,0,0,0,0,0,0,378,207,171,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),哥倫比亞共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),哥斯大黎加共和國,中南美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),海地共和國,中南美洲,14,10,4,14,10,4,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),烏克蘭,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),秘魯共和國,中南美洲,8,3,5,8,3,5,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),索羅門群島,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),紐西蘭,其他亞洲地區,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),納米比亞共和國,非洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),馬紹爾群島共和國,其他亞洲地區,21,5,16,21,5,16,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),新加坡共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),瑞士聯邦,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),瑞典王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),聖文森(及格瑞那丁),中南美洲,8,3,5,8,3,5,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),聖克里斯多福及尼維斯,中南美洲,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),緬甸,東協,5,2,3,0,0,0,5,2,3,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),澳門,港澳,55,32,23,0,0,0,0,0,0,55,32,23,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),盧森堡大公國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),諾魯共和國,其他亞洲地區,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),巴西聯邦共和國,中南美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),巴拉圭,中南美洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),加拿大,北美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),印度尼西亞共和國,東協,119,56,63,73,39,34,46,17,29,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),委內瑞拉共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),法國,歐洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),俄羅斯聯邦,其他亞洲地區,5,1,4,5,1,4,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),美國,北美洲,5,4,1,3,2,1,2,2,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),泰國,東協,7,2,5,4,2,2,3,0,3,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),烏茲別克共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1006,中國文化大學,學士班(日間),馬紹爾群島共和國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
