學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),僑生小計,僑生男,僑生女,港澳生小計,港澳生男,港澳生女,僑生及港澳生數之在學比率(%)
111,私立,一般大學,1008,靜宜大學,04191010,寰宇管理學士學位學程,學士班(日間),1,0,1,0,0,0,0.50
111,私立,一般大學,1008,靜宜大學,04211020,法律學系,學士班(日間),0,0,0,1,0,1,0.19
111,私立,一般大學,1008,靜宜大學,05191031,食品營養學系,學士班(日間),3,0,3,7,4,3,2.52
111,私立,一般大學,1008,靜宜大學,06131027,資訊管理學系,學士班(日間),2,2,0,3,3,0,1.02
111,私立,一般大學,1008,靜宜大學,06132009,資訊傳播工程學系,學士班(日間),1,1,0,1,1,0,0.39
111,私立,一般大學,1008,靜宜大學,07141030,資訊工程學系,學士班(日間),0,0,0,3,3,0,0.59
111,私立,一般大學,1008,靜宜大學,09161035,化粧品科學系,學士班(日間),5,1,4,3,0,3,1.77
111,私立,一般大學,1008,靜宜大學,09231032,社會工作與兒童少年福利學系,學士班(日間),1,1,0,6,5,1,1.31
111,私立,一般大學,1008,靜宜大學,10151034,觀光事業學系,學士班(日間),14,4,10,8,4,4,3.17
111,私立,一般大學,1014,義守大學,02111001,電影與電視學系,學士班(日間),16,8,8,56,27,29,25.90
111,私立,一般大學,1014,義守大學,02112005,數位多媒體設計學系,學士班(日間),4,2,2,19,10,9,12.04
111,私立,一般大學,1014,義守大學,02122068,國際傳媒與娛樂管理學系,學士班(日間),2,1,1,3,1,2,4.10
111,私立,一般大學,1014,義守大學,02123006,創意商品設計學系,學士班(日間),2,1,1,10,2,8,7.74
111,私立,一般大學,1014,義守大學,02311002,應用英語學系,學士班(日間),2,2,0,10,7,3,4.14
111,私立,一般大學,1014,義守大學,02311003,應用日語學系,學士班(日間),0,0,0,32,24,8,11.43
111,私立,一般大學,1014,義守大學,03211008,大眾傳播學系,學士班(日間),10,6,4,26,16,10,11.76
111,私立,一般大學,1014,義守大學,04111009,會計學系,學士班(日間),0,0,0,2,1,1,0.86
111,私立,一般大學,1014,義守大學,04121017,國際財務金融學系,學士班(日間),2,1,1,0,0,0,2.17
111,私立,一般大學,1014,義守大學,04131010,企業管理學系,學士班(日間),2,0,2,10,7,3,3.66
111,私立,一般大學,1014,義守大學,04131013,國際企業經營學系,學士班(日間),1,1,0,2,1,1,2.04
111,私立,一般大學,1014,義守大學,04133018,醫務管理學系,學士班(日間),0,0,0,4,2,2,1.11
111,私立,一般大學,1014,義守大學,04141015,國際商務學系,學士班(日間),3,3,0,1,1,0,1.28
111,私立,一般大學,1014,義守大學,05121020,生物科技學系,學士班(日間),0,0,0,1,1,0,0.55
111,私立,一般大學,1014,義守大學,05191044,營養學系,學士班(日間),0,0,0,8,2,6,3.46
111,私立,一般大學,1014,義守大學,05499070,資料科學與大數據分析學系,學士班(日間),0,0,0,2,1,1,1.54
111,私立,一般大學,1014,義守大學,06131024,資訊管理學系,學士班(日間),0,0,0,4,3,1,1.20
