學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
111,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,女,275,35,35,3,0,1,0,16,1,1,0,0,8,0,3,2,0,0,0,0
111,公立,一般大學,0012,國立臺灣海洋大學,博士班,女,88,22,22,0,0,2,0,10,1,1,0,0,6,0,1,0,1,0,0,0
111,公立,一般大學,0013,國立中正大學,學士班(日間),男,3537,140,137,13,5,62,14,5,0,1,1,14,0,10,5,5,2,3,0,3
111,公立,一般大學,0013,國立中正大學,碩士班(日間),男,1685,186,186,8,9,13,5,42,0,2,3,3,48,4,16,14,19,0,0,0
111,公立,一般大學,0013,國立中正大學,碩士在職專班,男,582,157,157,4,2,1,1,74,0,13,0,2,45,0,8,2,5,0,0,0
111,公立,一般大學,0013,國立中正大學,博士班,男,356,80,78,4,2,1,1,17,0,9,1,0,22,0,11,1,9,2,0,2
111,公立,一般大學,0013,國立中正大學,學士班(日間),女,3021,78,78,11,1,29,5,1,0,0,0,13,0,9,5,3,1,0,0,0
111,公立,一般大學,0013,國立中正大學,碩士班(日間),女,1173,186,186,5,8,12,1,55,3,12,0,6,42,2,10,21,9,0,0,0
111,公立,一般大學,0013,國立中正大學,碩士在職專班,女,817,185,185,14,1,3,1,72,6,19,0,0,53,0,11,2,3,0,0,0
111,公立,一般大學,0013,國立中正大學,博士班,女,202,56,56,3,1,0,0,18,2,5,0,0,17,0,4,0,6,0,0,0
111,公立,一般大學,0014,國立高雄師範大學,學士班(日間),男,1915,69,69,1,3,38,4,6,0,0,3,2,0,10,1,1,0,0,0,0
111,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),男,556,129,129,0,10,3,0,35,0,3,2,6,59,3,6,1,1,0,0,0
111,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,男,497,199,199,17,0,5,0,100,0,18,4,0,39,0,15,1,0,0,0,0
111,公立,一般大學,0014,國立高雄師範大學,博士班,男,214,51,51,0,0,0,0,22,0,2,1,0,23,0,3,0,0,0,0,0
111,公立,一般大學,0014,國立高雄師範大學,學士班(日間),女,1955,59,59,4,4,26,2,3,2,0,0,10,0,6,2,0,0,0,0,0
111,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),女,963,265,265,4,10,14,0,90,6,19,0,11,92,3,14,1,1,0,0,0
111,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,女,888,265,265,15,2,22,0,114,10,38,0,3,39,0,21,1,0,0,0,0
111,公立,一般大學,0014,國立高雄師範大學,博士班,女,231,58,58,3,0,0,0,17,3,9,0,0,21,0,4,0,1,0,0,0
111,公立,一般大學,0015,國立彰化師範大學,學士班(日間),男,2710,101,98,10,4,26,6,11,0,0,2,1,0,2,4,6,26,3,0,3
111,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),男,837,162,162,6,8,5,1,53,0,5,3,0,36,2,2,16,25,0,0,0
111,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,男,556,133,106,5,3,3,0,58,0,8,0,1,21,0,4,1,2,27,0,27
111,公立,一般大學,0015,國立彰化師範大學,博士班,男,288,61,61,2,0,0,0,25,0,5,1,0,17,0,3,0,8,0,0,0
111,公立,一般大學,0015,國立彰化師範大學,學士班(日間),女,2278,77,77,12,5,27,1,2,0,0,0,7,0,4,2,2,15,0,0,0
111,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),女,849,204,203,7,7,5,0,52,4,15,0,3,52,1,11,19,27,1,0,1
111,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,女,808,200,183,17,2,1,0,68,6,38,0,2,38,0,7,1,3,17,0,17
111,公立,一般大學,0015,國立彰化師範大學,博士班,女,200,38,38,4,1,0,0,18,1,4,0,0,7,0,1,0,2,0,0,0
111,公立,一般大學,0017,國立臺北大學,學士班(日間),男,2743,91,90,3,3,33,19,6,0,0,0,15,0,4,3,4,0,1,0,1
111,公立,一般大學,0017,國立臺北大學,學士班(進修),男,816,125,124,9,4,5,6,51,0,3,5,3,0,4,6,2,26,1,0,1
111,公立,一般大學,0017,國立臺北大學,碩士班(日間),男,742,107,107,3,2,7,0,30,0,3,5,3,41,1,1,7,4,0,0,0
111,公立,一般大學,0017,國立臺北大學,碩士在職專班,男,307,53,53,0,0,0,0,29,0,8,0,2,8,0,1,2,3,0,0,0
111,公立,一般大學,0017,國立臺北大學,博士班,男,137,35,35,1,1,0,0,13,0,3,0,1,13,0,2,1,0,0,0,0
111,公立,一般大學,0017,國立臺北大學,學士班(日間),女,3216,63,62,1,2,15,11,2,0,1,0,19,0,7,1,2,1,1,0,1
111,公立,一般大學,0017,國立臺北大學,學士班(進修),女,1155,139,139,12,5,7,6,60,4,4,0,8,0,2,4,2,25,0,0,0
