學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
113,公立,一般大學,0001,國立政治大學,碩士班(日間),越南社會主義共和國,東協,7,3,4,6,2,4,1,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),香港,港澳,16,6,10,0,0,0,0,0,0,16,6,10,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),澳門,港澳,5,3,2,0,0,0,0,0,0,5,3,2,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),蒙古國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),帛琉共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),烏干達共和國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),史瓦帝尼王國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),奧地利共和國,歐洲,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),捷克共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),法國,歐洲,9,2,7,9,2,7,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),義大利共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),波蘭共和國,歐洲,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),葡萄牙共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),西班牙王國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),瑞士聯邦,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),英國,歐洲,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),德意志聯邦共和國,歐洲,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),斯洛伐克共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),塞爾維亞共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),瓜地馬拉共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),宏都拉斯共和國,中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),墨西哥合眾國,中南美洲,8,4,4,8,4,4,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),尼加拉瓜,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),巴拿馬共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),貝里斯,中南美洲,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),美國,北美洲,29,18,11,27,16,11,2,2,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),巴西聯邦共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),哥倫比亞共和國,中南美洲,4,3,1,4,3,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),大陸地區,大陸地區,35,8,27,0,0,0,0,0,0,0,0,0,35,8,27
113,公立,一般大學,0001,國立政治大學,博士班,孟加拉人民共和國,南亞,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,博士班,印度尼西亞共和國,東協,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
