學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
111,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),男,2268,69,35,35,0,0,0,0,0,0,34,6,0,8,20,0
111,1,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),男,375,12,2,0,0,0,0,0,2,0,10,0,0,3,7,0
111,1,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,男,180,14,1,0,0,0,0,0,1,0,13,1,0,9,3,0
111,1,公立,一般大學,0021,國立暨南國際大學,博士班,男,179,14,2,0,0,0,0,0,2,0,12,3,0,4,5,0
111,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),女,2398,48,20,20,0,0,0,0,0,0,28,2,0,7,19,0
111,1,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),女,492,24,3,0,0,0,0,0,3,0,21,3,0,4,14,0
111,1,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,女,314,15,4,0,0,0,0,0,4,0,11,3,0,2,6,0
111,1,公立,一般大學,0021,國立暨南國際大學,博士班,女,175,7,1,0,0,0,0,0,1,0,6,0,0,2,4,0
111,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),男,3938,60,26,22,0,0,1,0,2,1,34,14,0,7,13,0
111,1,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),男,2814,78,27,9,0,0,0,1,3,14,51,7,0,34,10,0
111,1,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,男,513,21,5,0,0,0,0,0,2,3,16,6,0,6,4,0
111,1,公立,技專校院,0022,國立臺灣科技大學,博士班,男,808,48,14,0,0,0,1,1,5,7,34,16,0,12,6,0
111,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),女,1744,23,11,10,0,0,1,0,0,0,12,3,0,2,7,0
111,1,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),女,1241,39,17,2,0,0,1,2,1,11,22,1,0,17,4,0
111,1,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,女,323,12,5,0,0,0,0,0,0,5,7,2,0,3,2,0
111,1,公立,技專校院,0022,國立臺灣科技大學,博士班,女,267,8,4,1,0,0,0,0,1,2,4,1,0,2,1,0
111,1,公立,技專校院,0023,國立雲林科技大學,學士班(日間),男,3983,63,22,21,0,0,0,0,1,0,41,19,0,22,0,0
111,1,公立,技專校院,0023,國立雲林科技大學,學士班(進修),男,98,5,1,1,0,0,0,0,0,0,4,1,0,3,0,0
111,1,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),男,1258,69,22,16,0,0,1,0,5,0,47,6,0,41,0,0
111,1,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,男,480,31,11,5,0,0,0,0,6,0,20,4,0,16,0,0
111,1,公立,技專校院,0023,國立雲林科技大學,博士班,男,269,24,9,2,0,1,0,2,4,0,15,6,0,9,0,0
111,1,公立,技專校院,0023,國立雲林科技大學,學士班(日間),女,2551,33,19,19,0,0,0,0,0,0,14,8,0,5,1,0
111,1,公立,技專校院,0023,國立雲林科技大學,學士班(進修),女,129,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0
111,1,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),女,760,35,12,2,0,0,0,2,8,0,23,5,0,18,0,0
111,1,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,女,335,19,5,2,0,0,0,0,3,0,14,1,0,13,0,0
111,1,公立,技專校院,0023,國立雲林科技大學,博士班,女,164,8,2,1,0,0,0,0,1,0,6,4,0,1,0,1
111,1,公立,技專校院,0024,國立屏東科技大學,學士班(日間),男,4145,121,59,57,0,0,1,0,1,0,62,18,0,9,35,0
111,1,公立,技專校院,0024,國立屏東科技大學,學士班(進修),男,855,63,22,19,0,0,0,0,3,0,41,12,0,12,17,0
111,1,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),男,655,46,9,7,0,0,0,0,2,0,37,1,0,6,30,0
111,1,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,男,172,14,0,0,0,0,0,0,0,0,14,0,0,4,10,0
111,1,公立,技專校院,0024,國立屏東科技大學,博士班,男,158,6,2,0,0,0,0,0,2,0,4,0,0,2,2,0
111,1,公立,技專校院,0024,國立屏東科技大學,學士班(日間),女,3482,70,41,40,0,0,0,1,0,0,29,7,0,3,19,0
111,1,公立,技專校院,0024,國立屏東科技大學,學士班(進修),女,463,20,10,7,0,0,2,0,1,0,10,2,0,3,5,0
111,1,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),女,495,31,6,3,0,0,1,0,2,0,25,0,0,4,21,0
111,1,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,女,109,7,0,0,0,0,0,0,0,0,7,0,0,0,7,0
111,1,公立,技專校院,0024,國立屏東科技大學,博士班,女,96,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0
111,1,公立,技專校院,0025,國立臺北科技大學,五專,男,123,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0
111,1,公立,技專校院,0025,國立臺北科技大學,學士班(日間),男,4452,59,22,21,0,0,0,0,1,0,37,15,0,6,16,0
111,1,公立,技專校院,0025,國立臺北科技大學,學士班(進修),男,1203,26,7,7,0,0,0,0,0,0,19,9,0,7,3,0
