學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
112,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),5,1,4,11.90
112,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,博士班,6,1,5,26.09
112,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,博士班,1,0,1,4.76
112,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),18,7,11,8.37
112,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),23,10,13,27.38
112,公立,一般大學,0002,國立清華大學,02322003,中國文學系,博士班,24,11,13,41.38
112,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,02323114,華文文學研究所,碩士班(日間),12,6,6,22.22
112,公立,一般大學,0002,國立清華大學,02323144,華語文碩士學位學程,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),6,2,4,20.00
112,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,7,5,2,50.00
112,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),31,18,13,6.49
112,公立,一般大學,0002,國立清華大學,03111011,經濟學系,碩士班(日間),7,5,2,12.73
112,公立,一般大學,0002,國立清華大學,03111011,經濟學系,博士班,4,0,4,36.36
112,公立,一般大學,0002,國立清華大學,03121139,台北政經學院政治經濟碩士班,碩士班(日間),37,24,13,94.87
112,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),18,4,14,9.63
112,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,碩士班(日間),9,4,5,6.57
112,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,博士班,4,4,0,14.81
112,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),17,6,11,19.10
112,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,博士班,5,3,2,31.25
112,公立,一般大學,0002,國立清華大學,03199015,學習科學研究所,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,03199111,學習科學與科技研究所,碩士班(日間),3,2,1,4.00
112,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),7,3,4,2.77
112,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,碩士班(日間),9,5,4,17.65
112,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,博士班,1,0,1,33.33
112,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),52,20,32,75.36
112,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),15,3,12,23.08
112,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,博士班,7,4,3,28.00
112,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),2,0,2,3.85
112,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,博士班,11,10,1,78.57
112,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),118,42,76,34.10
112,公立,一般大學,0002,國立清華大學,04211B01,學士後法律學士學位學程,學士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),2,1,1,2.11
112,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,博士班,2,1,1,11.76
112,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),6,3,3,2.86
112,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,碩士班(日間),1,0,1,2.13
112,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,博士班,4,1,3,10.53
112,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,碩士班(日間),4,0,4,7.14
112,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,博士班,6,3,3,23.08
112,公立,一般大學,0002,國立清華大學,05121029,生技產業博士學位學程,博士班,0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),6,2,4,9.09
112,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,博士班,12,9,3,32.43
112,公立,一般大學,0002,國立清華大學,05121072,分子醫學研究所,碩士班(日間),2,1,1,4.44
112,公立,一般大學,0002,國立清華大學,05121072,分子醫學研究所,博士班,7,1,6,30.43
112,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,碩士班(日間),0,0,0,0.00
112,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,博士班,2,2,0,18.18
112,公立,一般大學,0002,國立清華大學,05199142,生命科學暨醫學院學士班,學士班(日間),7,4,3,5.07
112,公立,一般大學,0002,國立清華大學,05211041,環境科技博士學位學程(台灣聯合大學系統),博士班,9,5,4,100.00
